Tiempo[seg];Tensión en el capacitor [V]
0.0;0.0
0.0001001001001001001;0.0
0.0002002002002002002;0.0
0.00030030030030030034;0.0
0.0004004004004004004;0.0
0.0005005005005005005;0.0
0.0006006006006006007;0.0
0.0007007007007007008;0.0
0.0008008008008008008;0.0
0.0009009009009009009;0.0
0.001001001001001001;0.0
0.0011011011011011012;0.0
0.0012012012012012014;0.0
0.0013013013013013013;0.0
0.0014014014014014015;0.0
0.0015015015015015015;0.0
0.0016016016016016017;0.0
0.0017017017017017019;0.0
0.0018018018018018018;0.0
0.001901901901901902;0.0
0.002002002002002002;0.0
0.002102102102102102;0.0
0.0022022022022022024;0.0
0.0023023023023023025;0.0
0.0024024024024024027;0.0
0.0025025025025025025;0.0
0.0026026026026026027;0.0
0.002702702702702703;0.0
0.002802802802802803;0.0
0.0029029029029029032;0.0
0.003003003003003003;0.0
0.003103103103103103;0.0
0.0032032032032032033;0.0
0.0033033033033033035;0.0
0.0034034034034034037;0.0
0.0035035035035035035;0.0
0.0036036036036036037;0.0
0.003703703703703704;0.0
0.003803803803803804;0.0
0.0039039039039039042;0.0
0.004004004004004004;0.0
0.004104104104104105;0.0
0.004204204204204204;0.0
0.004304304304304304;0.0
0.004404404404404405;0.0
0.0045045045045045045;0.0
0.004604604604604605;0.0
0.004704704704704705;0.0
0.0048048048048048055;0.0
0.004904904904904905;0.0
0.005005005005005005;0.0
0.005105105105105106;0.0
0.005205205205205205;0.0
0.005305305305305306;0.0
0.005405405405405406;0.0
0.0055055055055055055;0.0
0.005605605605605606;0.0
0.005705705705705706;0.0
0.0058058058058058064;0.0
0.005905905905905906;0.0
0.006006006006006006;0.0
0.006106106106106107;0.0
0.006206206206206206;0.0
0.006306306306306307;0.0
0.006406406406406407;0.0
0.0065065065065065065;0.0
0.006606606606606607;0.0
0.006706706706706707;0.0
0.0068068068068068074;0.0
0.006906906906906907;0.0
0.007007007007007007;0.0
0.0071071071071071076;0.0
0.007207207207207207;0.0
0.007307307307307308;0.0
0.007407407407407408;0.0
0.0075075075075075074;0.0
0.007607607607607608;0.0
0.007707707707707708;0.0
0.0078078078078078084;0.0
0.007907907907907909;0.0
0.008008008008008008;0.0
0.008108108108108109;0.0
0.00820820820820821;0.0
0.008308308308308308;0.0
0.008408408408408409;0.0
0.00850850850850851;0.0
0.008608608608608608;0.0
0.008708708708708709;0.0
0.00880880880880881;0.0
0.00890890890890891;0.0
0.009009009009009009;0.0
0.00910910910910911;0.0
0.00920920920920921;0.0
0.009309309309309309;0.0
0.00940940940940941;0.0
0.00950950950950951;0.0
0.009609609609609611;0.0
0.00970970970970971;0.0
0.00980980980980981;0.0
0.009909909909909911;0.0
0.01001001001001001;0.006286900169095179
0.01011011011011011;0.042027790313298584
0.010210210210210211;0.10843007687588246
0.01031031031031031;0.2006354686687212
0.01041041041041041;0.31444583683952476
0.010510510510510511;0.44623559788693695
0.010610610610610612;0.5928756788502973
0.01071071071071071;0.7516675346698941
0.010810810810810811;0.9202858898028555
0.010910910910910912;1.0967290515769073
0.011011011011011011;1.279275794994579
0.011111111111111112;1.466447950823986
0.011211211211211212;1.6569779434847356
0.011311311311311311;1.849780624763816
0.011411411411411412;2.043928835776987
0.011511511511511512;2.2386322045625326
0.011611611611611613;2.4332187517632002
0.011711711711711712;2.6271189333266403
0.011811811811811812;2.819851798169878
0.011911911911911913;3.011012981294482
0.012012012012012012;3.200264289761273
0.012112112112112113;3.387324670978811
0.012212212212212213;3.5719623805726006
0.012312312312312312;3.753988191241057
0.012412412412412413;3.9332495049549907
0.012512512512512513;4.109625249040806
0.012612612612612614;4.283021452469278
0.012712712712712713;4.453367412368934
0.012812812812812813;4.62061237267099
0.012912912912912914;4.7847226471104936
0.013013013013013013;4.945679127763188
0.013113113113113114;5.103475128069624
0.013213213213213214;5.25811451604347
0.013313313313313315;5.409610099215391
0.013413413413413414;5.557982227944924
0.013513513513513514;5.703257588142749
0.013613613613613615;5.845468158273087
0.013713713713713714;5.984650308827782
0.013813813813813814;6.120844025346621
0.013913913913913915;6.254092238560593
0.014014014014014014;6.384440247406394
0.014114114114114115;6.51193522254521
0.014214214214214215;6.636625779654551
0.014314314314314316;6.758561613181526
0.014414414414414415;6.877793182478054
0.014514514514514515;6.994371443307766
0.014614614614614616;7.108347618642392
0.014714714714714715;7.219773003470776
0.014814814814814815;7.328698799042688
0.014914914914914916;7.435175972576152
0.015015015015015015;7.539255138983454
0.015115115115115116;7.640986461627883
0.015215215215215216;7.740419569519699
0.015315315315315317;7.837603488703906
0.015415415415415416;7.9325865858909825
0.015515515515515516;8.025416522640832
0.015615615615615617;8.116140218635062
0.015715715715715717;8.204803822767794
0.015815815815815818;8.291452690954516
0.015915915915915915;8.376131369705398
0.016016016016016016;8.458883584636947
0.016116116116116116;8.539752233206478
0.016216216216216217;8.618779381049812
0.016316316316316318;8.696006261385898
0.01641641641641642;8.771473277024233
0.01651651651651652;8.845220004573623
0.016616616616616616;8.917285200505175
0.016716716716716717;8.98770680876954
0.016816816816816817;9.056521969709289
0.016916916916916918;9.123767030042792
0.01701701701701702;9.189477553726693
0.01711711711711712;9.253688333530706
0.017217217217217216;9.3164334031816
0.017317317317317317;9.377746049953277
0.017417417417417418;9.437658827597105
0.017517517517517518;9.496203569521889
0.01761761761761762;9.553411402145688
0.01771771771771772;9.60931275835314
0.01781781781781782;9.663937391001596
0.017917917917917917;9.717314386427947
0.018018018018018018;9.76947217791521
0.01811811811811812;9.820438559084382
0.01821821821821822;9.870240697182483
